"customers","run","profit"
"90","0","7365068"
"90","1","7758689"
"90","2","7655123"
"90","3","8029360"
"90","4","8318735"
"90","5","6507444"
"90","6","7796551"
"90","7","7865929"
"90","8","7967278"
"90","9","8762581"
"90","10","7592960"
"90","11","7856629"
"90","12","8281464"
"90","13","7498555"
"90","14","7648495"
"90","15","7726157"
"90","16","7798532"
"90","17","7409777"
"90","18","7139414"
"90","19","7212659"
"90","20","7987354"
"90","21","6657333"
"90","22","7516270"
"90","23","6167611"
"90","24","7943216"
"90","25","7714668"
"90","26","8205912"
"90","27","7823999"
"90","28","7255987"
"90","29","7081053"
"94","0","8929047"
"94","1","7754091"
"94","2","7847257"
"94","3","8001567"
"94","4","8412656"
"94","5","7036648"
"94","6","7567356"
"94","7","8474224"
"94","8","7624633"
"94","9","8269197"
"94","10","8483828"
"94","11","7636785"
"94","12","8004222"
"94","13","8053009"
"94","14","7141817"
"94","15","7794641"
"94","16","7816761"
"94","17","7953718"
"94","18","7236189"
"94","19","6776890"
"94","20","8589033"
"94","21","7660963"
"94","22","7630822"
"94","23","7301209"
"94","24","7563440"
"94","25","7260279"
"94","26","7584517"
"94","27","8733377"
"94","28","9221352"
"94","29","8162052"
"98","0","8548379"
"98","1","7365231"
"98","2","7707392"
"98","3","7683910"
"98","4","7884023"
"98","5","6227477"
"98","6","8120739"
"98","7","8568407"
"98","8","7992443"
"98","9","6950020"
"98","10","8547746"
"98","11","7728594"
"98","12","7651223"
"98","13","8148476"
"98","14","8549696"
"98","15","6862931"
"98","16","7296181"
"98","17","7619457"
"98","18","6488977"
"98","19","7964490"
"98","20","7742632"
"98","21","7585960"
"98","22","8495513"
"98","23","7991752"
"98","24","7520772"
"98","25","7618017"
"98","26","7781042"
"98","27","7050330"
"98","28","7621004"
"98","29","8641015"
